id,session_id,position,guess_number,guessed_character,is_correct
1096,39,70,1,Є,True
1097,39,71,1, ,True
1098,39,72,1,В,False
1099,39,72,2,П,False
1100,39,72,3,Т,False
1101,39,72,4,С,False
1102,39,72,5,М,False
1103,39,72,6,Б,False
1104,39,72,7,Ц,False
1105,39,72,8,Ч,False
1106,39,72,9,Н,False
1107,39,72,10,І,False
1108,39,72,11,Є,False
1109,39,72,12,Д,False
1110,39,72,13,О,True
1111,39,73,1,Т,False
1112,39,73,2,З,False
1113,39,73,3,Д,False
1114,39,73,4,Н,False
1115,39,73,5,Ч,False
1116,39,73,6,Е,False
1117,39,73,7,С,False
1118,39,73,8,Б,False
1119,39,73,9,Р,True
1120,39,74,1,Г,True
1121,39,75,1,А,True
1122,39,76,1,Н,True
1123,39,77,1,І,True
1124,39,78,1,З,True
1125,39,79,1,А,False
1126,39,79,2,М,True
1127,39,80,1, ,True
1128,39,81,1,Р,False
1129,39,81,2,Л,False
1130,39,81,3,Д,False
1131,41,70,1,О,False
1132,41,70,2,Б,False
1133,41,70,3,Е,False
1134,41,70,4,Д,False
1135,41,71,1,Х,False
1136,41,71,2,З,True
1137,41,70,5,Н,False
1138,44,70,1,З,True
1139,44,71,1,К,True
1140,44,72,1,У,True
1141,44,73,1, ,True
1142,44,74,1,Д,False
1143,44,74,2,М,False
1144,45,70,1,Л,True
1145,45,71,1,Л,False
1146,45,72,1,Л,False
1147,46,71,1, ,False
1148,46,70,1,И,True
1149,46,71,2,В,True
1150,46,72,1,А,True
1151,46,72,2,Н,False
1152,46,73,1,Н,True
1153,47,70,1,Ж,False
1154,47,70,2,Р,False
1155,47,70,3,Н,False
1156,47,70,4,У,False
1157,47,70,5,Ч,False
1158,47,70,6,З,False
1159,47,70,7,М,False
1160,47,70,8,Ї,True
1161,47,71,1,Б,False
1162,47,71,2,Ї,True
1163,47,71,3,Ч,False
1164,47,72,1,Ї,False
1165,47,73,1,Ї,False
1166,49,70,1,П,True
1167,49,71,1,О,True
1168,49,71,2,П,False
1169,50,70,1,З,False
1170,50,70,2,П,False
1171,50,70,3,Л,False
1172,50,70,4,Р,True
1173,50,71,1,Р,False
1174,50,71,2,О,True
1175,50,72,1,Б,False
1176,50,72,2,З,True
1177,50,73,1,У,False
1178,50,73,2,Ш,True
1179,50,74,1,И,True
1180,50,75,1,Р,True
1181,50,76,1,Ю,True
1182,50,77,1,В,True
1183,50,78,1,А,True
1184,50,79,1,Т,True
1185,50,80,1,И,True
1186,50,81,1, ,True
1187,52,70,1,Ш,False
1188,50,82,1,С,False
1189,50,82,2,Ї,False
1190,50,82,3,П,True
1191,50,83,1,О,False
1192,50,83,2,Е,True
1193,50,84,1,Р,True
1194,50,85,1,Е,True
1195,50,86,1,В,False
1196,50,86,2,Н,False
1197,50,86,3,О,False
1198,50,86,4,Г,False
1199,50,86,5,Л,True
1200,50,87,1,І,True
1201,50,88,1,К,True
1202,50,89,1, ,True
1203,50,90,1,М,False
1204,50,90,2,Д,False
1205,50,90,3,Б,False
1206,50,90,4,П,True
1207,50,91,1,О,True
1208,50,92,1,Т,True
1209,50,93,1,Е,True
1210,50,94,1,Н,True
1211,50,95,1,Ц,True
1212,50,96,1,І,True
1213,50,97,1,Й,True
1214,50,98,1,Н,True
1215,50,99,1,И,True
1216,50,100,1,Х,True
1217,50,101,1, ,True
1218,50,102,1,П,False
1219,50,102,2,Н,False
1220,50,102,3,К,True
1221,50,103,1,Л,False
1222,50,103,2,О,False
1223,50,103,3,А,True
1224,50,104,1,Н,True
1225,50,105,1,Д,True
1226,50,106,1,И,True
1227,50,107,1,Д,True
1228,50,108,1,А,True
1229,50,109,1,Т,True
1230,50,110,1,І,True
1231,50,111,1,В,True
1232,50,112,1, ,True
1233,50,113,1,Н,True
1234,50,114,1,А,True
1235,50,115,1, ,True
1236,50,116,1,П,True
1237,50,117,1,О,True
1238,50,118,1,С,True
1239,50,119,1,А,True
1240,50,120,1,Д,True
1241,50,121,1,И,True
1242,50,122,1, ,True
1243,50,123,1,П,False
1244,50,123,2,З,False
1245,50,123,3,Т,False
1246,50,123,4,А,False
