id,anon_user_id,sentence_id,finished
90,2972344441,86,False
39,613744328,64,True
40,2343055799,76,False
41,2343055799,121,False
42,1876532193,109,False
43,2343055799,154,False
44,2343055799,95,False
45,2343055799,53,False
46,1876532193,69,False
47,1876532193,75,False
48,1876532193,72,False
49,1876532193,173,False
50,2343055799,134,False
52,2343055799,54,False
51,2343055799,166,True
53,2343055799,158,False
54,2343055799,120,False
55,2343055799,55,False
56,2343055799,62,False
57,2343055799,180,True
58,2343055799,174,False
59,2343055799,178,False
60,2343055799,86,False
61,2343055799,51,False
62,2343055799,130,False
63,2343055799,162,False
64,2343055799,147,False
65,2343055799,181,False
66,2343055799,49,False
67,984862153,59,False
69,676478455,145,False
70,3186266330,91,False
71,3586104383,86,False
72,3915654652,118,False
73,428936998,150,False
74,2972344441,152,False
75,3063121757,139,False
76,3195943669,80,False
77,3002293990,130,False
78,1330002367,164,False
80,3682110512,166,False
81,3700262408,74,False
68,548040338,63,True
83,984862153,80,False
85,548040338,86,False
86,2809756693,174,False
87,2608442,144,False
93,1048846591,158,False
95,2617055406,99,False
99,3454205405,118,False
91,3195943669,146,True
102,3915654652,144,False
88,1330002367,65,True
103,192133059,100,False
104,1330002367,66,False
107,2608442,125,False
108,192133059,54,False
89,548040338,155,True
92,3682110512,154,True
109,2343055799,141,False
97,3915654652,123,True
82,1784734157,173,True
79,3351225820,104,True
111,3915654652,157,False
84,2159614674,104,True
113,2159614674,180,False
114,1003196749,60,False
105,676478455,105,True
100,289657640,170,True
115,1330002367,141,False
98,23481980,74,True
101,3195943669,136,True
116,2343055799,56,False
94,3063121757,96,True
117,1991666222,76,False
96,1003196749,72,True
106,751799101,65,True
118,1148476491,101,False
119,2897279551,64,False
120,2343055799,143,False
112,2930702213,181,True
122,751799101,161,False
123,548040338,79,False
133,3110303383,117,False
124,2343055799,96,False
125,3351225820,72,False
126,3195943669,66,False
131,2930702213,175,False
140,2051593778,138,False
127,1784734157,63,False
128,3063121757,166,False
129,1991666222,158,False
130,2972344441,128,False
121,2930702213,80,True
132,1691855493,133,False
